ID;Fecha Modificacion;Fecha Descarga;Id_Departamento;Cod_Departamento;Departamento_es;Departamento_eu;Fecha Inicio Dpto;Fecha Fin Dpto;Tipo_Estructura;Tipo_Organo_es;Tipo Organo_eu;Id_Organo;Cod_Organo;Organo_es;Organo_eu;Fecha Inicio Org;Fecha Fin Org;Id_CentroOrg;Cod_CentroOrg;CentroOrg_es;CentroOrg_eu;Fecha Inicio Centro;Id_TipoCentro;TipoCentro_es;TipoCentro_eu;Cod_CentroSAP;Centro_dest.or;Centro_Destino;Calle/Numero;CP;Pais;Municipio;Localidad;Telefono;Fax;Correo_Electronico;Id_Posicion;Cod_Posicion;Posicion_es;Posicion_eu;GR.PER;Des.ES.grupo;Des.EU.grupo;APER;Des.ES.area;Des.EU.area;Id_TipoCargo;TipoCargo_es;TipoCargo_eu;Id_Empleado;DatosPersonales;Fecha Nombramiento;BOPV Nombramiento;
145;26/10/2020;16/01/2024;6692;10000000000; Lehendakaritza; Lehendakaritza;17/12/2012;31/12/9999;1;AG - Departamento Administración General;AO - Administrazio Orokorra Saila;6692;10000000000; Lehendakaritza; Lehendakaritza;17/12/2012;31/12/9999;6315;10000000000; Lehendakaritza; Lehendakaritza;12/04/2013;A03;RANGO: CONSEJERIA;MAILA: KONTSEILARITZA;1106;1056;SECRETARIA PARA LA PRESIDENCIA DEL GOBIERNO;NAVARRA, 2;1007;ES;59;63;945017900;;;428880;9100/1;LEHENDAKARI;LEHENDAKARI;A;Miembro Gobierno;Gobernuko kidea;A1;Miembro de Gobierno;Jaurlaritzako kidea;AC01;Lehendakari;Lehendakari;9;URKULLU RENTERIA, IÑIGO;05/09/2020;175/2020;
432;09/02/2021;16/01/2024;6692;10000000000; Lehendakaritza; Lehendakaritza;17/12/2012;31/12/9999;1;AG - Departamento Administración General;AO - Administrazio Orokorra Saila;6692;10000000000; Lehendakaritza; Lehendakaritza;17/12/2012;31/12/9999;30004011;14000000000; Persona Comisionada para la Ciencia, la Tecnología y la Innovación; Zientzia, Teknologia eta Berrikuntzarako komisionatua;30/01/2021;A10;RANGO: VICECONSEJERÍA;MAILA: SAILBURUORDETZA;1106;1056;SECRETARIA PARA LA PRESIDENCIA DEL GOBIERNO;NAVARRA, 2;1007;ES;59;63;945017900;;;60073931;9124/1;COMISIONADA CIENCIA, TECNOLOGÍA E INNOV.;ZIENTZIA, TEKNOL. ETA BERRI. KOMISIONATU;B;Alto cargo;Goi-kargua;B1;Alto Cargo;Goi-karguduna;AC04;Viceconsejero/a;Sailburuordea;10;URIARTE TOLEDO, CRISTINA;30/01/2021;21/2021;
719;09/02/2021;16/01/2024;5901;20000000000; Seguridad; Segurtasuna;08/09/2020;31/12/9999;3;AG - Departamento Administración General;AO - Administrazio Orokorra Saila;5901;20000000000; Seguridad; Segurtasuna;08/09/2020;31/12/9999;5548;20200000000; Dirección de Comunicación del Vicelehendakari Primero y Consejero de Seguridad;L. LEHENDAKARIORDE ETA SEG. SAILB.KOM.Z.;30/01/2021;A05;RANGO: DIRECCIÓN;MAILA: ZUZENDARITZA;117;1800;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;DONOSTIA-SAN SEBASTIAN, 1;1010;ES;59;;945-018000;;;440497;9104/151;DIRECTOR/A;ZUZENDARIA;B;Alto cargo;Goi-kargua;B1;Alto Cargo;Goi-karguduna;AC05;Director;Zuzendaria;15;PALENZUELA MAESO, SILVIA;30/01/2021;21/2021;
1006;08/02/2023;16/01/2024;6692;10000000000; Lehendakaritza; Lehendakaritza;17/12/2012;31/12/9999;1;AG - Departamento Administración General;AO - Administrazio Orokorra Saila;6692;10000000000; Lehendakaritza; Lehendakaritza;17/12/2012;31/12/9999;6315;10000000000; Lehendakaritza; Lehendakaritza;12/04/2013;A03;RANGO: CONSEJERIA;MAILA: KONTSEILARITZA;1106;1056;SECRETARIA PARA LA PRESIDENCIA DEL GOBIERNO;NAVARRA, 2;1007;ES;59;63;945017900;;;440689;5210/2;ASESOR/A DEL LEHENDAKARI;LEHENDAKARIAREN AHOLKULARIA;C;Personal eventual;Behin-behineko lang.;C1;Rango cargo público;Kargu publiko maila;PE01;Rango Viceconsejero/a;Sailburuorde maila;17;BERNARDO URQUIJO, JUAN IGNACIO;28/01/2023;27/2023;
1293;18/04/2023;16/01/2024;6692;10000000000; Lehendakaritza; Lehendakaritza;17/12/2012;31/12/9999;1;AG - Departamento Administración General;AO - Administrazio Orokorra Saila;6692;10000000000; Lehendakaritza; Lehendakaritza;17/12/2012;31/12/9999;5164;11000000000; Secretaría General de Coordinación y Comunicación Social; Koordinazio eta Gizarte Komunikazioko Idazkaritza Nagusia;15/04/2023;A10;RANGO: VICECONSEJERÍA;MAILA: SAILBURUORDETZA;1106;1056;SECRETARIA PARA LA PRESIDENCIA DEL GOBIERNO;NAVARRA, 2;1007;ES;59;63;945017900;;;410804;9106/1;SECRETARIO/A GENERAL (NIVEL VICECONSEJ.);IDAZKARI NAGUSIA (SAILBURUORDEA);B;Alto cargo;Goi-kargua;B1;Alto Cargo;Goi-karguduna;AC04;Viceconsejero/a;Sailburuordea;18;CASTILLA ALBISU, JUAN MANUEL;15/04/2023;71/2023;
1580;31/03/2021;16/01/2024;6243;50000000000; Desarrollo Económico, Sostenibilidad y Medio Ambiente; Ekonomiaren Garapena, Jasangarritasuna eta Ingurumena;08/09/2020;31/12/9999;3;AG - Departamento Administración General;AO - Administrazio Orokorra Saila;6243;50000000000; Desarrollo Económico, Sostenibilidad y Medio Ambiente; Ekonomiaren Garapena, Jasangarritasuna eta Ingurumena;08/09/2020;31/12/9999;5832;51000000000; Viceconsejería de Tecnología, Innovación y Transformación Digital;TEKNOLOGIAKO, BERRIK. ETA ERAL. DIG. SAI;06/03/2021;A10;RANGO: VICECONSEJERÍA;MAILA: SAILBURUORDETZA;117;1800;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;DONOSTIA-SAN SEBASTIAN, 1;1010;ES;59;;945-018000;;;417290;9103/14;VICECONSEJERO/A;SAILBURUORDEA;B;Alto cargo;Goi-kargua;B1;Alto Cargo;Goi-karguduna;AC04;Viceconsejero/a;Sailburuordea;19;HERNAEZ LAVIÑA, ESTIBALIZ;06/03/2021;47/2021;
1867;05/11/2020;16/01/2024;5901;20000000000; Seguridad; Segurtasuna;08/09/2020;31/12/9999;4;OA - Organismo Autónomo;EA - Erakunde Autonomoa;9245;4,50E+11; Academia Vasca de Policía y Emergencias; Polizia eta Larrialdietako Euskal Akademia;07/07/2012;31/12/9999;9216;4,51E+11; Dirección General; Zuzendaritza Nagusia;07/07/2012;A10;RANGO: VICECONSEJERÍA;MAILA: SAILBURUORDETZA;500;1013;ACAD.POLICIA-ARKAUTE-/PARQUE MOVIL/UTAP;CARRETERA N-1 ARKAUTE;1192;ES;59;;945285200;;;405419;9114/1;DIRECTOR/A GENERAL (NIVEL VICECONSEJERO);ZUZENDARI NAGUSIA (SAILBURUORDEA);B;Alto cargo;Goi-kargua;B1;Alto Cargo;Goi-karguduna;AC04;Viceconsejero/a;Sailburuordea;20;ZEARRETA OTAZUA, ANDRES;10/10/2020;200/2020;
2154;17/10/2020;16/01/2024;30002503;1,10E+11; Cultura y Política Lingüística; Kultura eta Hizkuntza Politika;08/09/2020;31/12/9999;3;AG - Departamento Administración General;AO - Administrazio Orokorra Saila;30002503;1,10E+11; Cultura y Política Lingüística; Kultura eta Hizkuntza Politika;08/09/2020;31/12/9999;30002504;1,10E+11; Consejería; Kontseilaritza;08/09/2020;A03;RANGO: CONSEJERIA;MAILA: KONTSEILARITZA;117;1800;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;DONOSTIA-SAN SEBASTIAN, 1;1010;ES;59;;945-018000;;;60031203;5293/1;ASESOR/A PARA DESAR. PATRIMONIO CULTURAL;KULTURA ONDAREA GARATZEKO AHOLKULARIA;C;Personal eventual;Behin-behineko lang.;C1;Rango cargo público;Kargu publiko maila;PE01;Rango Viceconsejero/a;Sailburuorde maila;21;MUÑOZ OTAEGI, JOSE ANGEL MARIA;18/09/2020;191/2020;
2441;08/02/2021;16/01/2024;6243;50000000000; Desarrollo Económico, Sostenibilidad y Medio Ambiente; Ekonomiaren Garapena, Jasangarritasuna eta Ingurumena;08/09/2020;31/12/9999;90;SP - Sociedad Pública;SP - Sozietate Publikoa;30001684;9,14E+11; Parque Tecnológico-Teknologi Elkartegia, S.A.; Parque Tecnológico-Teknologi Elkartegia, S.A.;01/01/1980;31/12/9999;30001684;9,14E+11; Parque Tecnológico-Teknologi Elkartegia, S.A.; Parque Tecnológico-Teknologi Elkartegia, S.A.;01/01/1980;C30;SP – SOCIEDAD PÚBLICA;SP - SOZIETATE PUBLIKOA;;;;;;;;;;;;60007960;7036/1;DIRECTOR/A GENERAL;ZUZENDARI NAGUSIA;1;Cargo púb. directivo;Zuz. kargu publikoa;11;Directivo sec. púb.;Sek. pub. zuzendaria;AD01;Rango Viceconsejero/a;Sailburuorde maila;23;EPALZA URQUIAGA, ITZIAR;15/12/2016;37/2017;
2728;31/03/2021;16/01/2024;5154;60000000000; Economía y Hacienda; Ekonomia eta Ogasuna;08/09/2020;31/12/9999;3;AG - Departamento Administración General;AO - Administrazio Orokorra Saila;5154;60000000000; Economía y Hacienda; Ekonomia eta Ogasuna;08/09/2020;31/12/9999;30004026;63000000000; Viceconsejería de Finanzas y Presupuestos; Finantza eta Aurrekontu Zuzendaritza;06/03/2021;A10;RANGO: VICECONSEJERÍA;MAILA: SAILBURUORDETZA;117;1800;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;DONOSTIA-SAN SEBASTIAN, 1;1010;ES;59;;945-018000;;;411923;9103/8;VICECONSEJERO/A;SAILBURUORDEA;B;Alto cargo;Goi-kargua;B1;Alto Cargo;Goi-karguduna;AC04;Viceconsejero/a;Sailburuordea;24;LACALLE EDESO, HERNANDO;06/03/2021;47/2021;
